Activity_ID,Lead_ID,Activity_Type,Activity_Date,Outcome
A00049,L0056,Call,2026-01-17,Callback Requested
A00050,L0078,Website Visit,2026-01-17,Services Page
A00051,L0081,Call,2026-01-17,Connected
A00052,L0082,Call,2026-01-17,No Answer
A00053,L0106,Website Visit,2026-01-17,Case Study
A00054,L0008,Email,2026-01-18,No Response
A00055,L0015,Meeting,2026-01-18,No Show
A00056,L0033,Call,2026-01-18,Connected
A00057,L0070,Meeting,2026-01-18,Completed
A00058,L0079,Call,2026-01-18,Callback Requested
A00059,L0083,Call,2026-01-18,Callback Requested
A00060,L0094,Call,2026-01-18,Callback Requested
A00061,L0024,Call,2026-01-19,Callback Requested
A00062,L0026,Website Visit,2026-01-19,Pricing Page
A00063,L0033,Call,2026-01-19,No Answer
A00064,L0059,Call,2026-01-19,Callback Requested
A00065,L0105,Website Visit,2026-01-19,Services Page
A00066,L0113,Email,2026-01-19,Replied
A00067,L0004,Call,2026-01-20,No Answer
A00068,L0009,Website Visit,2026-01-20,Blog
A00069,L0015,Email,2026-01-20,No Response
A00070,L0049,Call,2026-01-20,Callback Requested
A00071,L0049,Email,2026-01-20,No Response
A00072,L0050,Website Visit,2026-01-20,Services Page
A00073,L0083,Website Visit,2026-01-20,Pricing Page
A00074,L0086,Website Visit,2026-01-20,Services Page
A00075,L0092,Email,2026-01-20,Opened
A00076,L0100,Call,2026-01-20,No Answer
A00077,L0112,Email,2026-01-20,Replied
A00078,L0118,Call,2026-01-20,Callback Requested
A00079,L0033,Website Visit,2026-01-21,Blog
A00080,L0046,Website Visit,2026-01-21,Services Page
A00081,L0059,Email,2026-01-21,Opened
A00082,L0079,Meeting,2026-01-21,No Show
A00083,L0086,Website Visit,2026-01-21,Pricing Page
A00084,L0088,Website Visit,2026-01-21,Blog
A00085,L0098,Call,2026-01-21,Callback Requested
A00086,L0116,Call,2026-01-21,Voicemail
A00087,L0116,Email,2026-01-21,Opened
A00088,L0002,Call,2026-01-22,Connected
A00089,L0008,Website Visit,2026-01-22,Pricing Page
A00090,L0022,Website Visit,2026-01-22,Blog
A00091,L0029,Website Visit,2026-01-22,Case Study
A00092,L0032,Email,2026-01-22,No Response
A00093,L0036,Email,2026-01-22,Opened
A00094,L0057,Call,2026-01-22,No Answer
A00095,L0058,Call,2026-01-22,Callback Requested
A00096,L0058,Email,2026-01-22,Opened
A00097,L0063,Call,2026-01-22,Voicemail
A00098,L0083,Call,2026-01-22,Connected
A00099,L0084,Website Visit,2026-01-22,Contact Page
A00100,L0086,Email,2026-01-22,Opened
A00101,L0112,Meeting,2026-01-22,Completed
A00102,L0116,Call,2026-01-22,No Answer
A00103,L0119,Call,2026-01-22,Voicemail
A00104,L0122,Website Visit,2026-01-22,Blog
A00105,L0139,Call,2026-01-22,Callback Requested
A00106,L0143,Meeting,2026-01-22,Rescheduled
A00107,L0143,Website Visit,2026-01-22,Pricing Page
A00108,L0010,Meeting,2026-01-23,Completed
A00109,L0016,Call,2026-01-23,Connected
A00110,L0020,Website Visit,2026-01-23,Pricing Page
A00111,L0049,Meeting,2026-01-23,No Show
A00112,L0051,Website Visit,2026-01-23,Pricing Page
A00113,L0055,Website Visit,2026-01-23,Case Study
A00114,L0067,Call,2026-01-23,No Answer
A00115,L0084,Website Visit,2026-01-23,Services Page
A00116,L0090,Email,2026-01-23,No Response
A00117,L0093,Website Visit,2026-01-23,Case Study
A00118,L0095,Call,2026-01-23,Callback Requested
A00119,L0129,Meeting,2026-01-23,Rescheduled
A00120,L0153,Call,2026-01-23,Connected
A00121,L0036,Call,2026-01-24,No Answer
A00122,L0046,Call,2026-01-24,Callback Requested
A00123,L0057,Meeting,2026-01-24,Completed
A00124,L0062,Call,2026-01-24,No Answer
A00125,L0067,Call,2026-01-24,No Answer
A00126,L0070,Meeting,2026-01-24,Rescheduled
A00127,L0086,Meeting,2026-01-24,Completed
A00128,L0102,Call,2026-01-24,Connected
A00129,L0102,Website Visit,2026-01-24,Pricing Page
A00130,L0138,Call,2026-01-24,No Answer
A00131,L0147,Email,2026-01-24,Opened
A00132,L0161,Website Visit,2026-01-24,Services Page
A00133,L0079,Email,2026-01-25,No Response
A00134,L0091,Email,2026-01-25,Opened
A00135,L0104,Email,2026-01-25,Replied
A00136,L0122,Website Visit,2026-01-25,Case Study
A00137,L0123,Website Visit,2026-01-25,Case Study
A00138,L0135,Website Visit,2026-01-25,Services Page
A00139,L0139,Email,2026-01-25,No Response
A00140,L0143,Website Visit,2026-01-25,Contact Page
A00141,L0166,Website Visit,2026-01-25,Contact Page
A00142,L0167,Meeting,2026-01-25,Rescheduled
A00143,L0005,Email,2026-01-26,Bounced
A00144,L0018,Email,2026-01-26,Replied
A00145,L0055,Website Visit,2026-01-26,Blog
A00146,L0075,Website Visit,2026-01-26,Services Page
A00147,L0078,Call,2026-01-26,Voicemail
A00148,L0091,Email,2026-01-26,No Response
A00149,L0094,Call,2026-01-26,Callback Requested
A00150,L0102,Website Visit,2026-01-26,Pricing Page
A00151,L0125,Website Visit,2026-01-26,Pricing Page
A00152,L0146,Email,2026-01-26,Bounced
A00153,L0153,Email,2026-01-26,Opened
A00154,L0155,Email,2026-01-26,No Response
A00155,L0181,Call,2026-01-26,No Answer
A00156,L0002,Website Visit,2026-01-27,Services Page
A00157,L0008,Meeting,2026-01-27,Rescheduled
A00158,L0018,Website Visit,2026-01-27,Services Page
A00159,L0046,Meeting,2026-01-27,Rescheduled
A00160,L0060,Call,2026-01-27,Connected
A00161,L0084,Meeting,2026-01-27,Rescheduled
A00162,L0104,Email,2026-01-27,No Response
A00163,L0110,Website Visit,2026-01-27,Pricing Page
A00164,L0138,Website Visit,2026-01-27,Blog
A00165,L0005,Website Visit,2026-01-28,Blog
A00166,L0006,Call,2026-01-28,Connected
A00167,L0020,Email,2026-01-28,No Response
A00168,L0021,Call,2026-01-28,No Answer
A00169,L0044,Website Visit,2026-01-28,Pricing Page
A00170,L0053,Call,2026-01-28,Callback Requested
A00171,L0062,Meeting,2026-01-28,Completed
A00172,L0112,Website Visit,2026-01-28,Pricing Page
A00173,L0115,Email,2026-01-28,Replied
A00174,L0125,Call,2026-01-28,Connected
A00175,L0136,Email,2026-01-28,Replied
A00176,L0137,Website Visit,2026-01-28,Pricing Page
A00177,L0168,Call,2026-01-28,No Answer
A00178,L0184,Website Visit,2026-01-28,Case Study
A00179,L0019,Meeting,2026-01-29,Completed
A00180,L0044,Email,2026-01-29,No Response
A00181,L0045,Call,2026-01-29,Connected
A00182,L0051,Call,2026-01-29,Callback Requested
A00183,L0082,Website Visit,2026-01-29,Case Study
A00184,L0159,Call,2026-01-29,No Answer
A00185,L0160,Website Visit,2026-01-29,Pricing Page
A00186,L0167,Meeting,2026-01-29,Completed
A00187,L0191,Website Visit,2026-01-29,Case Study
A00188,L0005,Call,2026-01-30,No Answer
A00189,L0010,Website Visit,2026-01-30,Services Page
A00190,L0046,Email,2026-01-30,Replied
A00191,L0049,Call,2026-01-30,Callback Requested
A00192,L0049,Website Visit,2026-01-30,Pricing Page
A00193,L0057,Call,2026-01-30,No Answer
A00194,L0066,Call,2026-01-30,Callback Requested
A00195,L0089,Call,2026-01-30,Connected
A00196,L0113,Website Visit,2026-01-30,Services Page
A00197,L0115,Call,2026-01-30,Callback Requested
A00198,L0115,Website Visit,2026-01-30,Services Page
A00199,L0135,Website Visit,2026-01-30,Services Page
A00200,L0136,Website Visit,2026-01-30,Services Page
A00201,L0143,Call,2026-01-30,Voicemail
A00202,L0144,Email,2026-01-30,Opened
A00203,L0171,Call,2026-01-30,Callback Requested
A00204,L0171,Website Visit,2026-01-30,Services Page
A00205,L0174,Call,2026-01-30,No Answer
A00206,L0011,Email,2026-01-31,Opened
A00207,L0084,Email,2026-01-31,Replied
A00208,L0086,Call,2026-01-31,Callback Requested
A00209,L0113,Call,2026-01-31,Connected
A00210,L0132,Email,2026-01-31,Opened
A00211,L0149,Call,2026-01-31,Connected
A00212,L0198,Meeting,2026-01-31,Completed
A00213,L0010,Call,2026-02-01,No Answer
A00214,L0014,Website Visit,2026-02-01,Contact Page
A00215,L0074,Website Visit,2026-02-01,Case Study
A00216,L0075,Call,2026-02-01,Callback Requested
A00217,L0079,Email,2026-02-01,Opened
A00218,L0081,Website Visit,2026-02-01,Services Page
A00219,L0090,Call,2026-02-01,Connected
A00220,L0094,Email,2026-02-01,Replied
A00221,L0120,Website Visit,2026-02-01,Pricing Page
A00222,L0121,Website Visit,2026-02-01,Contact Page
A00223,L0148,Call,2026-02-01,Connected
A00224,L0172,Call,2026-02-01,Not Interested
A00225,L0193,Website Visit,2026-02-01,Services Page
A00226,L0010,Call,2026-02-02,Callback Requested
A00227,L0044,Email,2026-02-02,No Response
A00228,L0050,Website Visit,2026-02-02,Blog
A00229,L0055,Meeting,2026-02-02,No Show
A00230,L0057,Call,2026-02-02,No Answer
A00231,L0067,Email,2026-02-02,Opened
A00232,L0069,Call,2026-02-02,No Answer
A00233,L0070,Website Visit,2026-02-02,Contact Page
A00234,L0078,Call,2026-02-02,Callback Requested
A00235,L0104,Email,2026-02-02,Replied
A00236,L0123,Call,2026-02-02,Connected
A00237,L0125,Email,2026-02-02,No Response
A00238,L0127,Email,2026-02-02,No Response
A00239,L0129,Call,2026-02-02,Connected
A00240,L0168,Email,2026-02-02,Replied
A00241,L0204,Website Visit,2026-02-02,Pricing Page
A00242,L0216,Call,2026-02-02,Callback Requested
A00243,L0221,Call,2026-02-02,Connected
A00244,L0041,Email,2026-02-03,No Response
A00245,L0057,Website Visit,2026-02-03,Pricing Page
A00246,L0108,Email,2026-02-03,Replied
A00247,L0143,Website Visit,2026-02-03,Case Study
A00248,L0148,Email,2026-02-03,No Response
A00249,L0153,Website Visit,2026-02-03,Services Page
A00250,L0165,Website Visit,2026-02-03,Pricing Page
A00251,L0201,Meeting,2026-02-03,Completed
A00252,L0206,Call,2026-02-03,No Answer
A00253,L0221,Call,2026-02-03,Not Interested
A00254,L0027,Call,2026-02-04,Connected
A00255,L0037,Website Visit,2026-02-04,Services Page
A00256,L0051,Call,2026-02-04,Connected
A00257,L0094,Email,2026-02-04,Replied
A00258,L0103,Website Visit,2026-02-04,Case Study
A00259,L0127,Call,2026-02-04,Voicemail
A00260,L0172,Email,2026-02-04,No Response
A00261,L0186,Website Visit,2026-02-04,Case Study
A00262,L0227,Call,2026-02-04,No Answer
A00263,L0014,Email,2026-02-05,Opened
A00264,L0034,Website Visit,2026-02-05,Pricing Page
A00265,L0105,Call,2026-02-05,Callback Requested
A00266,L0125,Meeting,2026-02-05,Completed
A00267,L0129,Call,2026-02-05,No Answer
A00268,L0230,Email,2026-02-05,No Response
A00269,L0233,Call,2026-02-05,Callback Requested
A00270,L0004,Website Visit,2026-02-06,Services Page
A00271,L0014,Email,2026-02-06,Opened
A00272,L0070,Email,2026-02-06,Opened
A00273,L0082,Email,2026-02-06,Opened
A00274,L0092,Call,2026-02-06,Callback Requested
A00275,L0167,Call,2026-02-06,Callback Requested
A00276,L0170,Call,2026-02-06,Connected
A00277,L0189,Website Visit,2026-02-06,Blog
A00278,L0218,Website Visit,2026-02-06,Contact Page
A00279,L0229,Call,2026-02-06,Connected
A00280,L0238,Email,2026-02-06,No Response
A00281,L0009,Call,2026-02-07,Voicemail
A00282,L0031,Call,2026-02-07,Connected
A00283,L0079,Call,2026-02-07,Callback Requested
A00284,L0088,Call,2026-02-07,Connected
A00285,L0109,Email,2026-02-07,No Response
A00286,L0115,Call,2026-02-07,Connected
A00287,L0128,Call,2026-02-07,Callback Requested
A00288,L0136,Website Visit,2026-02-07,Case Study
A00289,L0152,Call,2026-02-07,Connected
A00290,L0157,Call,2026-02-07,Callback Requested
A00291,L0168,Website Visit,2026-02-07,Blog
A00292,L0176,Call,2026-02-07,Connected
A00293,L0177,Website Visit,2026-02-07,Blog
A00294,L0197,Call,2026-02-07,Connected
A00295,L0198,Meeting,2026-02-07,Completed
A00296,L0238,Call,2026-02-07,Connected
A00297,L0015,Call,2026-02-08,Connected
A00298,L0019,Call,2026-02-08,Connected
A00299,L0033,Meeting,2026-02-08,Rescheduled
A00300,L0046,Website Visit,2026-02-08,Services Page
A00301,L0054,Email,2026-02-08,No Response
A00302,L0057,Website Visit,2026-02-08,Services Page
A00303,L0061,Email,2026-02-08,Opened
A00304,L0090,Email,2026-02-08,Opened
A00305,L0165,Website Visit,2026-02-08,Pricing Page
A00306,L0217,Call,2026-02-08,Not Interested
A00307,L0223,Call,2026-02-08,Connected
A00308,L0228,Meeting,2026-02-08,Completed
A00309,L0245,Website Visit,2026-02-08,Services Page
A00310,L0045,Email,2026-02-09,No Response
A00311,L0067,Website Visit,2026-02-09,Blog
A00312,L0127,Website Visit,2026-02-09,Blog
A00313,L0152,Website Visit,2026-02-09,Pricing Page
A00314,L0161,Website Visit,2026-02-09,Blog
A00315,L0174,Meeting,2026-02-09,Rescheduled
A00316,L0215,Website Visit,2026-02-09,Contact Page
A00317,L0237,Call,2026-02-09,No Answer
A00318,L0237,Email,2026-02-09,No Response
A00319,L0016,Meeting,2026-02-10,Completed
A00320,L0018,Website Visit,2026-02-10,Case Study
A00321,L0067,Email,2026-02-10,No Response
A00322,L0067,Website Visit,2026-02-10,Services Page
A00323,L0079,Website Visit,2026-02-10,Case Study
A00324,L0106,Call,2026-02-10,Not Interested
A00325,L0110,Email,2026-02-10,Replied
A00326,L0136,Email,2026-02-10,Opened
A00327,L0192,Website Visit,2026-02-10,Pricing Page
A00328,L0196,Email,2026-02-10,No Response
A00329,L0252,Website Visit,2026-02-10,Blog
A00330,L0261,Call,2026-02-10,Connected
A00331,L0016,Email,2026-02-11,No Response
A00332,L0037,Call,2026-02-11,Callback Requested
A00333,L0089,Email,2026-02-11,Bounced
A00334,L0123,Email,2026-02-11,Replied
A00335,L0140,Website Visit,2026-02-11,Case Study
A00336,L0201,Meeting,2026-02-11,Completed
A00337,L0220,Call,2026-02-11,Connected
A00338,L0034,Website Visit,2026-02-12,Case Study
A00339,L0046,Email,2026-02-12,Replied
A00340,L0057,Email,2026-02-12,No Response
A00341,L0062,Call,2026-02-12,Connected
A00342,L0066,Website Visit,2026-02-12,Services Page
A00343,L0070,Call,2026-02-12,No Answer
A00344,L0110,Call,2026-02-12,Callback Requested
A00345,L0112,Website Visit,2026-02-12,Blog
A00346,L0112,Website Visit,2026-02-12,Contact Page
A00347,L0115,Email,2026-02-12,Replied
A00348,L0127,Call,2026-02-12,Connected
A00349,L0168,Call,2026-02-12,No Answer
A00350,L0172,Call,2026-02-12,Connected
A00351,L0174,Email,2026-02-12,No Response
A00352,L0189,Meeting,2026-02-12,Completed
A00353,L0211,Call,2026-02-12,No Answer
A00354,L0222,Website Visit,2026-02-12,Blog
A00355,L0251,Email,2026-02-12,Opened
A00356,L0258,Email,2026-02-12,Replied
A00357,L0265,Call,2026-02-12,Not Interested
A00358,L0272,Call,2026-02-12,Connected
A00359,L0002,Call,2026-02-13,No Answer
A00360,L0026,Call,2026-02-13,No Answer
A00361,L0070,Website Visit,2026-02-13,Services Page
A00362,L0083,Email,2026-02-13,No Response
A00363,L0086,Call,2026-02-13,Connected
A00364,L0098,Call,2026-02-13,Connected
A00365,L0136,Call,2026-02-13,Not Interested
A00366,L0144,Website Visit,2026-02-13,Case Study
A00367,L0178,Website Visit,2026-02-13,Services Page
A00368,L0185,Website Visit,2026-02-13,Services Page
A00369,L0197,Email,2026-02-13,Replied
A00370,L0225,Call,2026-02-13,Not Interested
A00371,L0236,Website Visit,2026-02-13,Services Page
A00372,L0238,Website Visit,2026-02-13,Blog
A00373,L0241,Email,2026-02-13,No Response
A00374,L0242,Website Visit,2026-02-13,Pricing Page
A00375,L0257,Email,2026-02-13,No Response
A00376,L0032,Website Visit,2026-02-14,Case Study
A00377,L0053,Call,2026-02-14,Connected
A00378,L0055,Website Visit,2026-02-14,Blog
A00379,L0066,Call,2026-02-14,Connected
A00380,L0070,Email,2026-02-14,Replied
A00381,L0106,Meeting,2026-02-14,Completed
A00382,L0113,Call,2026-02-14,Callback Requested
A00383,L0168,Call,2026-02-14,No Answer
A00384,L0193,Website Visit,2026-02-14,Services Page
A00385,L0199,Website Visit,2026-02-14,Blog
A00386,L0214,Website Visit,2026-02-14,Blog
A00387,L0215,Website Visit,2026-02-14,Services Page
A00388,L0216,Call,2026-02-14,Connected
A00389,L0224,Website Visit,2026-02-14,Pricing Page
A00390,L0231,Meeting,2026-02-14,Completed
A00391,L0242,Call,2026-02-14,Callback Requested
A00392,L0030,Website Visit,2026-02-15,Contact Page
A00393,L0045,Email,2026-02-15,No Response
A00394,L0060,Website Visit,2026-02-15,Services Page
A00395,L0067,Email,2026-02-15,No Response
A00396,L0070,Website Visit,2026-02-15,Blog
A00397,L0086,Email,2026-02-15,Opened
A00398,L0125,Email,2026-02-15,No Response
A00399,L0167,Email,2026-02-15,No Response
A00400,L0176,Email,2026-02-15,Replied
A00401,L0181,Email,2026-02-15,Replied
A00402,L0184,Website Visit,2026-02-15,Case Study
A00403,L0206,Website Visit,2026-02-15,Pricing Page
A00404,L0218,Email,2026-02-15,Bounced
A00405,L0223,Call,2026-02-15,No Answer
A00406,L0236,Website Visit,2026-02-15,Services Page
A00407,L0258,Call,2026-02-15,Voicemail
A00408,L0008,Email,2026-02-16,Replied
A00409,L0017,Call,2026-02-16,Connected
A00410,L0025,Website Visit,2026-02-16,Blog
A00411,L0036,Website Visit,2026-02-16,Blog
A00412,L0062,Meeting,2026-02-16,Completed
A00413,L0084,Meeting,2026-02-16,Completed
A00414,L0106,Email,2026-02-16,Replied
A00415,L0109,Call,2026-02-16,No Answer
A00416,L0110,Website Visit,2026-02-16,Blog
A00417,L0128,Call,2026-02-16,Connected
A00418,L0129,Call,2026-02-16,Connected
A00419,L0139,Call,2026-02-16,Connected
A00420,L0145,Email,2026-02-16,Opened
A00421,L0165,Call,2026-02-16,Voicemail
A00422,L0170,Meeting,2026-02-16,Completed
A00423,L0194,Website Visit,2026-02-16,Blog
A00424,L0207,Email,2026-02-16,Replied
A00425,L0250,Meeting,2026-02-16,No Show
A00426,L0257,Call,2026-02-16,Callback Requested
A00427,L0272,Call,2026-02-16,Connected
A00428,L0293,Website Visit,2026-02-16,Contact Page
A00429,L0015,Email,2026-02-17,Opened
A00430,L0020,Call,2026-02-17,Connected
A00431,L0020,Website Visit,2026-02-17,Services Page
A00432,L0025,Email,2026-02-17,Replied
A00433,L0025,Meeting,2026-02-17,Completed
A00434,L0030,Call,2026-02-17,Connected
A00435,L0070,Website Visit,2026-02-17,Blog
A00436,L0079,Call,2026-02-17,Connected
A00437,L0094,Website Visit,2026-02-17,Pricing Page
A00438,L0112,Call,2026-02-17,Connected
A00439,L0118,Email,2026-02-17,Replied
A00440,L0124,Website Visit,2026-02-17,Blog
A00441,L0125,Call,2026-02-17,No Answer
A00442,L0143,Call,2026-02-17,Connected
A00443,L0173,Call,2026-02-17,Voicemail
A00444,L0178,Call,2026-02-17,Voicemail
A00445,L0186,Website Visit,2026-02-17,Pricing Page
A00446,L0207,Website Visit,2026-02-17,Blog
A00447,L0275,Website Visit,2026-02-17,Blog
A00448,L0285,Call,2026-02-17,Callback Requested
A00449,L0008,Meeting,2026-02-18,Completed
A00450,L0024,Website Visit,2026-02-18,Contact Page
A00451,L0033,Website Visit,2026-02-18,Pricing Page
A00452,L0067,Website Visit,2026-02-18,Services Page
A00453,L0084,Call,2026-02-18,Connected
A00454,L0110,Call,2026-02-18,No Answer
A00455,L0112,Email,2026-02-18,Opened
A00456,L0115,Meeting,2026-02-18,Completed
A00457,L0147,Website Visit,2026-02-18,Contact Page
A00458,L0151,Call,2026-02-18,Connected
A00459,L0163,Email,2026-02-18,No Response
A00460,L0170,Call,2026-02-18,Callback Requested
A00461,L0173,Website Visit,2026-02-18,Case Study
A00462,L0175,Call,2026-02-18,No Answer
A00463,L0177,Website Visit,2026-02-18,Case Study
A00464,L0193,Call,2026-02-18,No Answer
A00465,L0202,Call,2026-02-18,No Answer
A00466,L0205,Call,2026-02-18,Callback Requested
A00467,L0229,Website Visit,2026-02-18,Pricing Page
A00468,L0247,Email,2026-02-18,Opened
A00469,L0261,Email,2026-02-18,Opened
A00470,L0280,Website Visit,2026-02-18,Pricing Page
A00471,L0015,Call,2026-02-19,Connected
A00472,L0030,Email,2026-02-19,Replied
A00473,L0038,Website Visit,2026-02-19,Blog
A00474,L0044,Meeting,2026-02-19,Completed
A00475,L0070,Call,2026-02-19,Connected
A00476,L0086,Call,2026-02-19,Connected
A00477,L0094,Call,2026-02-19,No Answer
A00478,L0096,Call,2026-02-19,Voicemail
A00479,L0105,Website Visit,2026-02-19,Blog
A00480,L0167,Call,2026-02-19,Connected
A00481,L0167,Email,2026-02-19,No Response
A00482,L0176,Website Visit,2026-02-19,Case Study
A00483,L0203,Call,2026-02-19,Voicemail
A00484,L0224,Email,2026-02-19,No Response
A00485,L0232,Call,2026-02-19,Connected
A00486,L0253,Website Visit,2026-02-19,Pricing Page
A00487,L0272,Website Visit,2026-02-19,Pricing Page
A00488,L0284,Call,2026-02-19,Callback Requested
A00489,L0293,Email,2026-02-19,No Response
A00490,L0002,Website Visit,2026-02-20,Services Page
A00491,L0008,Email,2026-02-20,Replied
A00492,L0008,Website Visit,2026-02-20,Pricing Page
A00493,L0054,Call,2026-02-20,Connected
A00494,L0096,Email,2026-02-20,Replied
A00495,L0104,Website Visit,2026-02-20,Blog
A00496,L0109,Call,2026-02-20,Connected
A00497,L0121,Call,2026-02-20,No Answer
A00498,L0145,Call,2026-02-20,No Answer
A00499,L0149,Website Visit,2026-02-20,Blog
A00500,L0156,Call,2026-02-20,No Answer
A00501,L0162,Website Visit,2026-02-20,Blog
A00502,L0165,Website Visit,2026-02-20,Pricing Page
A00503,L0175,Website Visit,2026-02-20,Blog
A00504,L0195,Website Visit,2026-02-20,Services Page
A00505,L0198,Email,2026-02-20,Opened
A00506,L0221,Email,2026-02-20,Opened
A00507,L0249,Website Visit,2026-02-20,Pricing Page
A00508,L0267,Email,2026-02-20,Opened
A00509,L0279,Meeting,2026-02-20,Completed
A00510,L0294,Email,2026-02-20,Replied
A00511,L0300,Website Visit,2026-02-20,Blog
A00512,L0320,Email,2026-02-20,Bounced
A00513,L0321,Email,2026-02-20,Replied
A00514,L0327,Email,2026-02-20,No Response
A00515,L0015,Website Visit,2026-02-21,Pricing Page
A00516,L0029,Call,2026-02-21,Connected
A00517,L0060,Email,2026-02-21,Opened
A00518,L0070,Call,2026-02-21,No Answer
A00519,L0110,Meeting,2026-02-21,Completed
A00520,L0118,Call,2026-02-21,Callback Requested
A00521,L0129,Website Visit,2026-02-21,Case Study
A00522,L0137,Website Visit,2026-02-21,Services Page
A00523,L0166,Call,2026-02-21,Connected
A00524,L0167,Email,2026-02-21,Replied
A00525,L0168,Website Visit,2026-02-21,Services Page
A00526,L0173,Website Visit,2026-02-21,Case Study
A00527,L0201,Call,2026-02-21,Callback Requested
A00528,L0230,Website Visit,2026-02-21,Contact Page
A00529,L0266,Call,2026-02-21,Not Interested
A00530,L0286,Website Visit,2026-02-21,Case Study
A00531,L0025,Call,2026-02-22,No Answer
A00532,L0025,Website Visit,2026-02-22,Pricing Page
A00533,L0045,Call,2026-02-22,No Answer
A00534,L0055,Email,2026-02-22,No Response
A00535,L0078,Website Visit,2026-02-22,Services Page
A00536,L0079,Meeting,2026-02-22,Completed
A00537,L0082,Email,2026-02-22,Replied
A00538,L0089,Call,2026-02-22,Connected
A00539,L0100,Email,2026-02-22,Opened
A00540,L0126,Website Visit,2026-02-22,Services Page
A00541,L0128,Website Visit,2026-02-22,Pricing Page
A00542,L0151,Website Visit,2026-02-22,Contact Page
A00543,L0156,Email,2026-02-22,No Response
A00544,L0172,Email,2026-02-22,Opened
A00545,L0195,Email,2026-02-22,Replied
A00546,L0203,Call,2026-02-22,Connected
A00547,L0231,Call,2026-02-22,Connected
A00548,L0234,Website Visit,2026-02-22,Case Study
A00549,L0240,Call,2026-02-22,Connected
A00550,L0245,Website Visit,2026-02-22,Pricing Page
A00551,L0247,Meeting,2026-02-22,Completed
A00552,L0252,Email,2026-02-22,Opened
A00553,L0290,Call,2026-02-22,Connected
A00554,L0314,Call,2026-02-22,Connected
A00555,L0320,Website Visit,2026-02-22,Pricing Page
A00556,L0324,Email,2026-02-22,Opened
A00557,L0025,Email,2026-02-23,Replied
A00558,L0026,Website Visit,2026-02-23,Contact Page
A00559,L0043,Website Visit,2026-02-23,Pricing Page
A00560,L0067,Call,2026-02-23,Callback Requested
A00561,L0069,Website Visit,2026-02-23,Pricing Page
A00562,L0100,Call,2026-02-23,Connected
A00563,L0112,Email,2026-02-23,No Response
A00564,L0129,Meeting,2026-02-23,Completed
A00565,L0133,Website Visit,2026-02-23,Blog
A00566,L0155,Email,2026-02-23,No Response
A00567,L0167,Email,2026-02-23,Opened
A00568,L0183,Website Visit,2026-02-23,Blog
A00569,L0187,Email,2026-02-23,Opened
A00570,L0190,Website Visit,2026-02-23,Blog
A00571,L0200,Website Visit,2026-02-23,Contact Page
A00572,L0206,Email,2026-02-23,Replied
A00573,L0214,Website Visit,2026-02-23,Contact Page
A00574,L0236,Meeting,2026-02-23,Completed
A00575,L0238,Meeting,2026-02-23,Completed
A00576,L0241,Meeting,2026-02-23,Completed
A00577,L0247,Email,2026-02-23,Opened
A00578,L0265,Website Visit,2026-02-23,Blog
