Lead_ID,Company_Name,Industry,Company_Size,Location,Lead_Source,Service_Interest,Annual_Revenue_Cr,Lead_Created_Date,Lead_Stage,Follow_Up_Status,Next_Follow_Up_Date,Sales_Rep_ID,Deal_Value,Conversion
L0078,Apex Labs,Education,201-500,Hyderabad,Website,Cybersecurity,125.7,2026-01-12,Proposal,Waiting for Response,2026-10-02,SR08,1170000.0,No
L0079,Flux Industrial,Manufacturing,1000+,Bengaluru,Website,Software Development,2686.8,2026-01-12,Won,Closed,,SR07,2225000.0,Yes
L0080,Flux Networks,Manufacturing,1-50,Mumbai,Cold Calling,DevOps,11.7,2026-01-12,New,Follow-up Required,2026-09-20,SR06,,No
L0081,Apex Freight,Logistics,201-500,Bengaluru,Events,Cloud Services,115.5,2026-01-12,Contacted,Not Interested,,SR07,,No
L0082,Onyx Labs,Healthcare,501-1000,Pune,Cold Calling,Cybersecurity,578.4,2026-01-12,Qualified,Waiting for Response,2026-09-24,SR02,,No
L0083,Relay Systems,SaaS,51-200,Bengaluru,Website,Cybersecurity,38.5,2026-01-13,Contacted,Not Interested,,SR07,,No
L0084,Zest Technologies ,Retail,501-1000,Bengaluru,LinkedIn,Software Development,580.9,2026-01-13,Proposal,Not Interested,,SR07,1440000.0,No
L0085,Vanguard Labs,SaaS,51-200,Mumbai,Cold Calling,Digital Transformation,37.3,2026-01-13,New,Follow-up Required,2026-10-06,SR09,,No
L0086,Lakshya Pvt Ltd,Manufacturing,1-50,Bengaluru,Website,Cybersecurity,3.5,2026-01-13,Won,Closed,,SR07,200000.0,Yes
L0087,Cobalt Labs,SaaS,1-50,Ahmedabad,Website,DevOps,2.1,2026-01-13,New,Follow-up Required,2026-10-04,SR09,,No
L0088,Delta Systems,FinTech,501-1000,Mumbai,Email Campaign,Cybersecurity,497.6,2026-01-14,Meeting,Meeting Scheduled,2026-09-28,SR06,,No
L0089,Rudra Finserv,FinTech,1-50,Mumbai,Cold Calling,Software Development,11.1,2026-01-14,Qualified,Follow-up Required,2026-09-19,SR06,,No
L0090,Onyx Platforms,SaaS,51-200,Pune,LinkedIn,Cybersecurity,37.4,2026-01-14,Meeting,Waiting for Response,2026-09-19,SR06,,No
L0091,Zephyr Solutions,Logistics,501-1000,Mumbai,Website,Software Development,335.2,2026-01-14,Qualified,Follow-up Required,2026-09-20,SR09,,No
L0092,Trident Solutions,Education,201-500,Pune,Website,Cloud Services,93.4,2026-01-14,Meeting,Meeting Scheduled,2026-10-01,SR06,,No
L0093,Hive Ventures,Education,1-50,Bengaluru,Website,Cloud Services,7.4,2026-01-14,Qualified,Waiting for Response,2026-10-02,SR08,,No
L0094,Wavelet Ventures,Manufacturing,1-50,Hyderabad,Website,Cloud Services,13.9,2026-01-15,Won,Closed,,SR07,345000.0,Yes
L0095,Vertex Enterprises,SaaS,501-1000,Chennai,Cold Calling,Cybersecurity,482.0,2026-01-15,Qualified,Meeting Scheduled,2026-09-22,SR07,,No
L0096,Chakra Systems,SaaS,201-500,,Referral,Cloud Services,78.3,2026-01-15,Contacted,Follow-up Required,2026-09-19,SR07,,No
L0097,Vivid Industries,Healthcare,51-200,Gurgaon,Events,Digital Transformation,43.9,2026-01-15,Contacted,Waiting for Response,2026-09-10,SR03,,No
L0098,Aurora Capital Tech,FinTech,51-200,Mumbai,LinkedIn,Software Development,27.9,2026-01-15,Contacted,Follow-up Required,2026-10-02,SR09,,No
L0099,Bharat Components,MANUFACTURING,1-50,Jaipur,Cold Calling,Digital Transformation,4.2,2026-01-15,Contacted,Waiting for Response,2026-09-07,SR10,,No
L0100,Vivid Pvt Ltd,SaaS,51-200,Bengaluru,Website,Cybersecurity,37.1,2026-01-15,Qualified,Follow-up Required,2026-09-28,SR04,,No
L0101,Alpine Ventures,Retail,51-200,Hyderabad,LinkedIn,Software Development,55.2,2026-01-15,New,Follow-up Required,2026-10-10,SR04,,No
L0102,Harbor Systems,Healthcare,201-500,,Referral,Cybersecurity,182.6,2026-01-16,Qualified,Follow-up Required,2026-10-07,SR05,,No
L0103,Radiant Pvt Ltd,SaaS,501-1000,Jaipur,Google Search,Cybersecurity,423.1,16/01/2026,New,Follow-up Required,2026-10-02,SR03,,No
L0104,Radiant Networks,Healthcare,501-1000,Delhi,Referral,Digital Transformation,494.4,2026-01-16,Proposal,Waiting for Response,2026-09-26,SR03,2000000.0,No
L0105,Loop Pvt Ltd,SaaS,1000+,,LinkedIn,Software Development,1188.0,2026-01-16,Contacted,Not Interested,,SR06,,No
L0106,Uday Labs,SaaS,51-200,Bengaluru,Referral,Cloud Services,46.3,2026-01-16,Won,Closed,,SR07,495000.0,Yes
L0107,Wavelet Softech,logistics,51-200,Hyderabad,LinkedIn,Digital Transformation,31.7,2026-01-16,New,Follow-up Required,2026-10-10,SR08,,No
L0108,Vertex Pvt Ltd,Retail,201-500,Gurgaon,Website,Digital Transformation,141.8,2026-01-16,Meeting,Not Interested,,SR10,,No
L0109,Mosaic Softech,E-commerce,201-500,Mumbai ,Cold Calling,Cloud Services,112.8,2026-01-16,Qualified,Contacted,2026-10-06,SR02,,No
L0110,Harbor Wealth Tech,FinTech,1000+,Bengaluru,Email Campaign,Cybersecurity,2449.7,2026-01-16,Won,Closed,,SR07,2170000.0,Yes
L0111,Ishaan Software,SaaS,1-50,Mumbai,Website,Digital Transformation,8.6,2026-01-16,Contacted,Not Interested,,SR06,,No
L0112,Meridian Group,FinTech,51-200,Jaipur,Cold Calling,Digital Transformation,16.4,2026-01-17,Won,Closed,,SR10,645000.0,Yes
L0113,Tundra Enterprises,E-commerce,51-200,Bengaluru,Google Search,Cloud Services,32.2,2026-01-17,Won,Closed,,SR04,635000.0,Yes
L0114,Cobalt Ventures ,Manufacturing,51-200,Hyderabad,Website,Digital Transformation,17.4,2026-01-17,Contacted,Follow-up Required,2026-09-26,SR08,,No
L0115,Pulse Industries,E-commerce,51-200,Noida,Email Campaign,Cloud Services,32.3,2026-01-17,Won,Closed,,SR10,640000.0,Yes
L0116,Zephyr Brands ,Retail,1000+,Gurgaon,Website,Cybersecurity,1180.2,2026-01-17,Meeting,Waiting for Response,2026-09-19,SR10,,No
L0117,Falcon Pvt Ltd,Logistics,1-50,Pune,LinkedIn,Cybersecurity,3.3,2026-01-17,New,Follow-up Required,2026-10-03,SR09,,No
L0118,Garuda Global,Education,201-500,Delhi,LinkedIn,Digital Transformation,175.1,2026-01-17,Qualified,Waiting for Response,2026-09-28,SR10,,No
L0119,Prism Networks,SaaS ,501-1000,Noida,Cold Calling,Cloud Services,403.4,2026-01-17,Contacted,Not Interested,,SR05,,No
L0120,Falcon Global,LOGISTICS,1000+,Delhi,Cold Calling,DevOps,1937.3,2026-01-18,Contacted,Not Interested,,SR03,,No
L0121,Yash Solutions,SaaS,201-500,Pune,Website,Software Development,173.2,2026-01-18,Contacted,Not Interested,,SR09,,No
L0122,Zenith Wealth Tech,FinTech,1-50,Delhi,Cold Calling,Digital Transformation,14.3,2026-01-18,New,Follow-up Required,2026-09-20,SR10,,No
L0123,Uday Ventures,HEALTHCARE,51-200,Bengaluru,Google Search,Software Development,16.8,2026-01-18,Qualified,Not Interested,,SR07,,No
L0124,Alpine Freight,LOGISTICS,1-50,Jaipur,Website,DevOps,14.0,2026-01-18,New,Follow-up Required,2026-09-30,SR10,,No
L0125,Lotus Apps,SaaS,51-200,Mumbai,Email Campaign,DevOps,33.0,2026-01-18,Won,Closed,,SR09,505000.0,Yes
L0126,Nimbus Labs,Retail,501-1000,Pune,Cold Calling,Software Development,282.2,2026-01-19,New,Follow-up Required,2026-10-09,SR06,,No
L0127,Harbor Solutions,FinTech,201-500,Bengaluru,LinkedIn,Software Development,199.1,2026-01-19,Meeting,Waiting for Response,2026-09-07,SR07,,No
L0128,Jolt Softech,E-commerce,201-500,Gurgaon,Referral,Software Development,158.3,2026-01-19,Contacted,Follow-up Required,2026-10-10,SR03,,No
L0129,Uday Technologies,Retail,201-500,Chennai,Cold Calling,Digital Transformation,96.0,2026-01-19,Won,Closed,,SR04,1180000.0,Yes
L0130,Zenith Platforms,SaaS,201-500,Delhi,Cold Calling,Software Development,46.1,2026-01-19,New,Follow-up Required,2026-09-30,SR03,,No
L0131,Helix Solutions,Education,1-50,Pune,Referral,Digital Transformation,4.4,2026-01-19,Contacted,Follow-up Required,2026-08-30,SR06,,No
L0132,Lotus Payments,FinTech,1-50,,Cold Calling,Cybersecurity,10.8,2026-01-19,Contacted,Follow-up Required,2026-09-04,SR08,,No
L0133,Falcon Ventures,Healthcare,1000+,Delhi,Email Campaign,Cybersecurity,984.2,2026-01-20,Contacted,Follow-up Required,2026-09-19,SR01,,No
L0134,Neptune Enterprises,FinTech,1000+,Bengaluru,Email Campaign,Digital Transformation,2885.6,2026-01-20,Contacted,Not Interested,,SR08,,No
L0135,Zephyr Labs,Healthcare,1-50,Jaipur,Google Search,Software Development,2.4,2026-01-20,Qualified,Follow-up Required,2026-09-19,SR05,,No
L0136,Ishaan Softech,Retail,501-1000,Ahmedabad,Email Campaign,Digital Transformation,274.8,2026-01-20,Qualified,Waiting for Response,2026-09-28,SR06,,No
L0137,Dhruv Wealth Tech,FinTech,1-50,Delhi,Cold Calling,Cybersecurity,12.5,2026-01-20,New,Follow-up Required,2026-09-21,SR05,,No
L0138,Helix Software,SaaS,201-500,Hyderabad,Cold Calling,Cybersecurity,134.5,2026-01-20,Qualified,Not Interested,,SR07,,No
L0139,Lumina Systems,FINTECH,1-50,Chennai,Email Campaign,Digital Transformation,13.7,2026-01-21,Contacted,Not Interested,,SR07,,No
L0140,Cobalt Systems,SaaS,201-500,Gurgaon,Cold Calling,Cloud Services,155.8,2026-01-21,New,Follow-up Required,2026-09-23,SR05,,No
L0141,Cobalt Online,E-commerce,51-200,Bengaluru,Website,Digital Transformation,,2026-01-21,New,Follow-up Required,2026-09-25,SR04,,No
L0142,Ridge Pvt Ltd,Retail,1000+,Mumbai ,Cold Calling,Digital Transformation,1268.3,2026-01-21,Contacted,Follow-up Required,2026-10-01,SR09,,No
L0143,Horizon Global,Logistics,201-500,New Delhi,Website,Software Development,40.7,2026-01-21,Meeting,Waiting for Response,2026-09-19,SR10,,No
L0144,Titan Softech,Logistics,51-200,Mumbai,Website,Digital Transformation,50.2,2026-01-22,Meeting,Follow-up Required,2026-09-25,SR02,,No
L0145,Flux Industries,SaaS,501-1000,Hyderabad,Email Campaign,Software Development,519.2,2026-01-22,Qualified,Contacted,2026-09-11,SR08,,No
L0146,Pinnacle Commerce,E-commerce,501-1000,Hyderabad,Cold Calling,Cloud Services,279.0,2026-01-22,Qualified,Follow-up Required,2026-08-31,SR04,,No
L0147,Thrive Networks,Education,51-200,Gurgaon,Email Campaign,Digital Transformation,53.8,2026-01-22,Qualified,Follow-up Required,2026-09-17,SR05,,No
L0148,Falcon Marketplace,E-commerce,201-500,Chennai,Google Search,Cybersecurity,59.0,2026-01-22,Qualified,Follow-up Required,2026-10-09,SR07,,No
L0149,Zest Ventures,SaaS,501-1000,Ahmedabad,Cold Calling,Software Development,389.7,2026-01-22,Contacted,Not Interested,,SR09,,No
L0150,Neptune Academy Systems,Education,1-50,Delhi,Cold Calling,Cloud Services,11.2,2026-01-22,New,Follow-up Required,2026-09-19,SR01,,No
L0151,Vivid Softech,FinTech,1-50,Pune,Website,Digital Transformation,12.6,2026-01-22,Contacted,Not Interested,,SR09,,No
L0152,Pulse Solutions,Healthcare,1-50,Mumbai,Cold Calling,Digital Transformation,11.9,2026-01-23,Contacted,Contacted,2026-10-08,SR09,,No
L0153,Bolt Enterprises,Logistics,1000+,Noida,Email Campaign,Cloud Services,2747.4,2026-01-23,Contacted,Not Interested,,SR01,,No
L0154,Vertex Labs,Education,501-1000,Bengaluru,Events,Cybersecurity,174.4,2026-01-23,New,Follow-up Required,2026-09-22,SR08,,No
L0155,Quest Brands,Retail,201-500,Noida,Website,Software Development,89.4,2026-01-23,Qualified,Contacted,2026-09-19,SR05,,No
L0156,Yonder Systems,E-commerce,51-200,Mumbai,Cold Calling,Digital Transformation,56.4,2026-01-23,Meeting,Follow-up Required,2026-09-26,SR02,,No
L0157,Ember Solutions,Manufacturing,51-200,Mumbai,Email Campaign,Digital Transformation,51.4,2026-01-24,Contacted,Follow-up Required,2026-10-10,SR09,,No
L0158,Onyx Logistics,Logistics,1-50,Pune,Events,Software Development,12.6,2026-01-24,Contacted,Contacted,2026-09-20,SR09,,No
L0159,Harbor Softech,Logistics,51-200,Pune,LinkedIn,Cloud Services,30.4,24/01/2026,Contacted,Contacted,2026-09-08,SR02,,No
L0160,Vista Components,manufacturing,51-200,Pune,Website,Cloud Services,21.8,2026-01-24,Contacted,Contacted,2026-09-24,SR06,,No
L0161,Indus Group,E-commerce,51-200,Gurgaon,Website,DevOps,24.2,2026-01-24,Contacted,Waiting for Response,2026-10-02,SR05,,No
L0162,Vivid Manufacturing,Manufacturing,201-500,Bengaluru,Cold Calling,Cybersecurity,69.7,2026-01-24,New,Follow-up Required,2026-09-19,SR08,,No
L0163,Astra Labs,SaaS,51-200,Bengaluru,Email Campaign,Cloud Services,45.7,2026-01-24,Qualified,Waiting for Response,2026-09-01,SR08,,No
L0164,Unity Retail Tech,E-commerce,51-200,Gurgaon,Website,Cloud Services,57.6,2026-01-24,New,Follow-up Required,2026-10-08,SR03,,No
L0165,Vanguard Enterprises,E-commerce,1-50,,LinkedIn,Software Development,6.1,2026-01-24,Qualified,Meeting Scheduled,2026-09-27,SR09,,No
L0166,Rudra Global,Healthcare,201-500,Delhi,Website,Digital Transformation,53.9,25/01/2026,Proposal,Closed,,SR10,1475000.0,No
L0167,Zest Marketplace,E-commerce,1000+,Noida,Email Campaign,Digital Transformation,1923.5,2026-01-25,Proposal,Waiting for Response,2026-09-23,SR05,1850000.0,No
L0168,Meridian Global,Retail,501-1000,Gurgaon,Google Search,Cybersecurity,420.6,2026-01-25,Won,Closed,,SR05,2050000.0,Yes
L0169,Oasis Global,Logistics,201-500,Noida,Email Campaign,Digital Transformation,78.5,2026-01-25,New,Follow-up Required,2026-09-26,SR01,,No
L0170,Crest Technologies,SaaS,1-50,Delhi,LinkedIn,Cybersecurity,3.8,2026-01-25,Meeting,Not Interested,,SR03,,No
L0171,Novus Mart,Retail,1000+,Hyderabad,LinkedIn,Digital Transformation,751.8,2026-01-25,Contacted,Follow-up Required,2026-09-05,SR07,,No
L0172,Ion Softech,Logistics,501-1000,Jaipur,Cold Calling,DevOps,221.4,2026-01-25,Meeting,Contacted,2026-10-09,SR01,,No
L0173,Quest Systems,manufacturing,1-50,Gurgaon,Cold Calling,Digital Transformation,12.3,2026-01-25,Contacted,Follow-up Required,2026-09-23,SR03,,No
L0174,Nexora Retail Tech,E-commerce,201-500,Pune,Cold Calling,Software Development,175.5,2026-01-25,Meeting,Waiting for Response,2026-09-19,SR09,,No
L0175,Wavelet Group ,Healthcare,501-1000,Pune,Cold Calling,Digital Transformation,274.5,2026-01-25,Contacted,Waiting for Response,2026-10-10,SR09,,No
L0176,Himalaya Technologies,Healthcare,501-1000,Hyderabad,Email Campaign,Software Development,224.8,2026-01-25,Proposal,Waiting for Response,2026-09-19,SR08,2020000.0,No
L0177,Oasis Finserv,FinTech,1-50,Noida,Referral,Cybersecurity,4.9,2026-01-25,Qualified,Not Interested,,SR01,,No
L0178,Ridge Networks,Healthcare,1-50,Chennai,Website,Cloud Services,8.3,2026-01-26,Qualified,Waiting for Response,2026-09-21,SR08,,No
L0179,Quantum Cargo,Logistics,51-200,Jaipur,cold calling,Digital Transformation,51.0,2026-01-26,Contacted,Not Interested,,SR10,,No
L0180,Vista Care Systems,Healthcare,201-500,Chennai,Google Search,Cybersecurity,126.3,2026-01-26,Qualified,Follow-up Required,2026-09-03,SR08,,No
L0181,Flux Solutions,SaaS,201-500,Pune,LinkedIn,Digital Transformation,94.3,2026-01-26,Qualified,Waiting for Response,2026-09-04,SR02,,No
