Lead_ID,Company_Name,Industry,Company_Size,Size_Order,Location,Lead_Source,Service_Interest,Annual_Revenue_Cr,Revenue_Imputed,Lead_Created_Date,Lead_Month,Lead_Stage,Stage_Order,Follow_Up_Status,Next_Follow_Up_Date,Follow_Up_Flag,Days_Overdue,Sales_Rep_ID,Deal_Value,Conversion,Deal_Outcome,Website_Visits,Email_Interactions,Calls_Made,Calls_Connected,Meetings,Total_Activities,Last_Contact_Date,Days_Since_Last_Contact,Score_Size,Score_Revenue,Score_Website,Score_Email,Score_Meetings,Score_Service_Fit,Score_Prior_Engagement,Lead_Score,Lead_Category
L0020,Nimbus Capital Tech,FinTech,51-200,2,Noida,Events,Cloud Services,40.6,False,2026-01-03,2026-01,Qualified,3,Not Interested,,No Follow-up Needed,0.0,SR05,,No,Lost,3,0,3,1,0,7,2026-03-25,178,5,5,6,0,0,10,5,31,Cold
L0021,Rudra Networks,E-commerce,501-1000,4,Chennai,LinkedIn,Digital Transformation,418.4,False,2026-01-03,2026-01,Contacted,2,Not Interested,,No Follow-up Needed,0.0,SR08,,No,Lost,1,0,2,0,0,3,2026-03-20,183,15,15,3,0,0,4,0,37,Cold
L0022,Thrive Enterprises,E-commerce,51-200,2,Bengaluru,LinkedIn,Software Development,14.2,False,2026-01-03,2026-01,New,1,Follow-up Required,2026-10-03,Upcoming,0.0,SR04,,No,Open,2,0,0,0,0,2,,,5,5,6,0,0,10,0,26,Cold
L0023,Madhav Networks,Logistics,1000+,5,Hyderabad,Events,Software Development,1775.2,True,2026-01-03,2026-01,Contacted,2,Waiting for Response,2026-09-11,Overdue,8.0,SR08,,No,Open,0,0,2,1,0,2,2026-01-17,245,20,20,0,0,0,4,5,49,Cold
L0024,Nimbus Ventures,Manufacturing,51-200,2,Chennai,Cold Calling,Digital Transformation,31.3,False,2026-01-04,2026-01,Contacted,2,Contacted,2026-09-20,Upcoming,0.0,SR07,,No,Open,2,0,2,0,0,4,2026-03-03,200,5,5,6,0,0,10,0,26,Cold
L0025,Wavelet Platforms,SaaS,1-50,1,Mumbai,LinkedIn,Software Development,10.5,False,2026-01-04,2026-01,Won,6,Closed,,No Follow-up Needed,0.0,SR09,325000,Yes,Won,4,4,3,0,3,15,2026-03-29,174,0,5,10,10,20,4,0,49,Cold
L0026,Falcon Networks,E-commerce,201-500,3,Bengaluru,Email Campaign,Cloud Services,97.9,False,2026-01-04,2026-01,Qualified,3,Follow-up Required,2026-09-03,Overdue,16.0,SR07,,No,Open,3,1,1,0,0,6,2026-03-31,172,10,10,6,5,0,10,0,41,Cold
L0027,Jolt Systems,FinTech,51-200,2,Mumbai,Website,Cloud Services,44.0,False,2026-01-04,2026-01,Contacted,2,Follow-up Required,2026-10-06,Upcoming,0.0,SR09,,No,Open,0,0,2,1,0,2,2026-03-14,189,5,5,0,0,0,10,5,25,Cold
L0028,Wavelet Health,Healthcare,201-500,3,Pune,Cold Calling,Cybersecurity,138.9,False,2026-01-04,2026-01,Contacted,2,Not Interested,,No Follow-up Needed,0.0,SR09,,No,Lost,0,0,2,0,0,2,2026-03-13,190,10,10,0,0,0,10,0,30,Cold
L0029,Vertex Softech,Retail,501-1000,4,Bengaluru,Website,Digital Transformation,576.3,False,2026-01-04,2026-01,Meeting,4,Not Interested,,No Follow-up Needed,0.0,SR08,,No,Lost,3,1,2,1,1,7,2026-03-06,197,15,20,6,5,12,10,5,73,Warm
L0030,Vivid Systems,Healthcare,1-50,1,Bengaluru,Cold Calling,Software Development,4.5,False,2026-01-05,2026-01,Qualified,3,Follow-up Required,2026-09-29,Upcoming,0.0,SR04,,No,Open,2,2,1,1,0,5,2026-03-21,182,0,0,6,10,0,4,5,25,Cold
L0031,Zenith Networks,FinTech,501-1000,4,Mumbai,Website,Cloud Services,442.5,False,2026-01-05,2026-01,Qualified,3,Follow-up Required,2026-09-24,Upcoming,0.0,SR09,,No,Open,0,1,3,2,0,5,2026-03-24,179,15,15,0,5,0,10,10,55,Cold
L0032,Cedar Labs,FinTech,1000+,5,Hyderabad,LinkedIn,Software Development,1160.6,False,2026-01-05,2026-01,Qualified,3,Waiting for Response,2026-09-17,Overdue,2.0,SR04,,No,Open,2,0,3,0,0,6,2026-03-10,193,20,20,6,0,0,4,0,50,Cold
L0033,Himalaya Online,E-commerce,1-50,1,Chennai,Cold Calling,DevOps,12.2,False,2026-01-06,2026-01,Meeting,4,Follow-up Required,2026-09-24,Upcoming,0.0,SR08,,No,Open,3,1,2,1,0,7,2026-03-22,181,0,5,6,5,0,4,5,25,Cold
L0034,Glide Enterprises,Logistics,1-50,1,Bengaluru,LinkedIn,Cloud Services,2.5,False,2026-01-06,2026-01,Contacted,2,Follow-up Required,2026-09-29,Upcoming,0.0,SR04,,No,Open,2,0,1,1,0,3,2026-03-26,177,0,0,6,0,0,10,5,21,Cold
L0035,Onyx Networks,Retail,1000+,5,Pune,Email Campaign,Cloud Services,1964.6,False,2026-01-06,2026-01,New,1,Follow-up Required,2026-09-22,Upcoming,0.0,SR06,,No,Open,1,0,0,0,0,1,,,20,20,3,0,0,10,0,53,Cold
L0036,Sagar Ventures,Logistics,501-1000,4,Bengaluru,LinkedIn,Software Development,549.6,False,2026-01-06,2026-01,Meeting,4,Waiting for Response,2026-09-19,Due Today,0.0,SR07,,No,Open,2,2,3,2,1,8,2026-04-05,167,15,20,6,10,12,4,10,77,Warm
L0037,Tundra Pvt Ltd,E-commerce,201-500,3,Mumbai,Email Campaign,Software Development,181.0,False,2026-01-06,2026-01,Proposal,5,Waiting for Response,2026-10-10,Upcoming,0.0,SR02,1355000,No,Open,3,2,4,2,2,12,2026-03-30,173,10,10,6,10,20,10,10,76,Warm
L0038,Summit Solutions,E-commerce,201-500,3,Delhi,LinkedIn,DevOps,132.3,False,2026-01-06,2026-01,New,1,Follow-up Required,2026-09-24,Upcoming,0.0,SR03,,No,Open,1,0,0,0,0,1,,,10,10,3,0,0,4,0,27,Cold
L0039,Pinnacle Software,SaaS,1-50,1,Gurgaon,Google Search,DevOps,5.1,False,2026-01-06,2026-01,Contacted,2,Contacted,2026-09-19,Due Today,0.0,SR01,,No,Open,1,0,1,1,0,2,2026-02-24,207,0,0,3,0,0,10,5,18,Cold
L0040,Novus Softech,E-commerce,1-50,1,Bengaluru,Email Campaign,Software Development,7.5,False,2026-01-06,2026-01,New,1,Follow-up Required,2026-09-19,Due Today,0.0,SR08,,No,Open,1,0,0,0,0,1,,,0,0,3,0,0,10,0,13,Cold
L0041,Helix Enterprises,SaaS,201-500,3,Pune,Email Campaign,Cybersecurity,46.5,False,2026-01-06,2026-01,Qualified,3,Waiting for Response,2026-09-18,Overdue,1.0,SR06,,No,Open,0,0,2,1,0,3,2026-03-15,188,10,5,0,0,0,4,5,24,Cold
L0042,Jade Systems,Manufacturing,51-200,2,Pune,Cold Calling,Software Development,36.8,True,2026-01-06,2026-01,New,1,Follow-up Required,2026-10-09,Upcoming,0.0,SR02,,No,Open,0,0,0,0,0,0,,,5,5,0,0,0,4,0,14,Cold
L0043,Kinetic Engineering,Manufacturing,201-500,3,Mumbai,LinkedIn,Digital Transformation,132.2,False,2026-01-07,2026-01,New,1,Follow-up Required,2026-09-25,Upcoming,0.0,SR09,,No,Open,2,0,0,0,0,2,,,10,10,6,0,0,10,0,36,Cold
L0044,Drift Mart,Retail,201-500,3,Mumbai,Referral,Cloud Services,161.8,False,2026-01-07,2026-01,Won,6,Closed,,No Follow-up Needed,0.0,SR02,1295000,Yes,Won,5,2,4,1,2,17,2026-03-28,175,10,10,10,10,20,10,5,75,Warm
L0045,Willow Group,Retail,51-200,2,Pune,Google Search,Cloud Services,26.0,False,2026-01-07,2026-01,Qualified,3,Meeting Scheduled,2026-09-28,Upcoming,0.0,SR02,,No,Open,1,0,2,1,0,5,2026-02-22,209,5,5,3,0,0,10,5,28,Cold
L0046,Apex Ventures,Logistics,201-500,3,Hyderabad,Website,Software Development,109.5,False,2026-01-07,2026-01,Proposal,5,Waiting for Response,2026-08-30,Overdue,20.0,SR04,1360000,No,Open,4,2,2,0,1,10,2026-04-06,166,10,10,10,10,12,4,0,56,Cold
L0047,Kestrel Pvt Ltd,Retail,51-200,2,Mumbai,Cold Calling,Software Development,15.1,False,2026-01-07,2026-01,New,1,Follow-up Required,2026-09-13,Overdue,6.0,SR06,,No,Open,0,0,0,0,0,0,,,5,5,0,0,0,4,0,14,Cold
L0048,Hive Solutions,Education,1-50,1,Bengaluru,Google Search,Cybersecurity,11.2,False,2026-01-07,2026-01,New,1,Follow-up Required,2026-09-23,Upcoming,0.0,SR04,,No,Open,0,0,0,0,0,0,,,0,5,0,0,0,4,0,9,Cold
L0049,Helix Mart,Retail,201-500,3,Mumbai,LinkedIn,Cybersecurity,68.9,False,2026-01-07,2026-01,Meeting,4,Meeting Scheduled,2026-09-19,Due Today,0.0,SR02,,No,Open,3,1,2,0,0,9,2026-03-31,172,10,10,6,5,0,4,0,35,Cold
L0050,Zenith Knowledge,Education,51-200,2,Mumbai,Events,Cloud Services,33.9,False,2026-01-07,2026-01,Qualified,3,Follow-up Required,2026-09-26,Upcoming,0.0,SR09,,No,Open,3,2,1,1,0,6,2026-03-28,175,5,5,6,10,0,4,5,35,Cold
L0051,Novus Global,SaaS,51-200,2,Bengaluru,Cold Calling,DevOps,36.8,True,2026-01-07,2026-01,Contacted,2,Contacted,2026-10-04,Upcoming,0.0,SR08,,No,Open,2,0,2,1,0,4,2026-02-04,227,5,5,6,0,0,10,5,31,Cold
L0052,Ishaan Labs,Retail,201-500,3,Mumbai,Events,Digital Transformation,192.2,False,2026-01-07,2026-01,New,1,Follow-up Required,2026-09-30,Upcoming,0.0,SR02,,No,Open,0,0,0,0,0,0,,,10,10,0,0,0,10,0,30,Cold
L0053,Spark Labs,Healthcare,201-500,3,Chennai,Email Campaign,Cloud Services,70.2,False,2026-01-08,2026-01,Contacted,2,Not Interested,,No Follow-up Needed,0.0,SR07,,No,Lost,0,0,2,1,0,2,2026-02-14,217,10,10,0,0,0,4,5,29,Cold
L0054,Zephyr Technologies,Manufacturing,1-50,1,Hyderabad,Events,Digital Transformation,9.8,False,2026-01-08,2026-01,Qualified,3,Follow-up Required,2026-09-13,Overdue,6.0,SR08,,No,Open,1,0,2,2,0,4,2026-03-31,172,0,0,3,0,0,10,10,23,Cold
L0055,Onyx Enterprises,SaaS,1-50,1,Pune,Cold Calling,DevOps,14.1,False,2026-01-08,2026-01,Meeting,4,Meeting Scheduled,2026-09-26,Upcoming,0.0,SR06,,No,Open,4,2,2,1,0,10,2026-04-01,171,0,5,10,10,0,10,5,40,Cold
L0056,Indus Networks,Manufacturing,1000+,5,Mumbai,LinkedIn,Cloud Services,553.1,False,2026-01-08,2026-01,Qualified,3,Not Interested,,No Follow-up Needed,0.0,SR06,,No,Lost,0,1,2,1,0,3,2026-04-03,169,20,20,0,5,0,10,5,60,Warm
L0057,Himalaya Networks,E-commerce,1000+,5,Pune,Website,Software Development,1862.7,False,2026-01-08,2026-01,Won,6,Closed,,No Follow-up Needed,0.0,SR09,1945000,Yes,Won,3,2,4,1,1,13,2026-04-07,165,20,20,6,10,12,10,5,83,Hot
L0058,Quartz Solutions,Logistics,201-500,3,Bengaluru,Cold Calling,Digital Transformation,163.4,False,2026-01-08,2026-01,Qualified,3,Follow-up Required,2026-09-01,Overdue,18.0,SR04,,No,Open,1,2,3,1,0,6,2026-04-07,165,10,10,3,10,0,10,5,48,Cold
L0059,Madhav Labs,Education,1-50,1,Chennai,Events,Software Development,9.6,False,2026-01-08,2026-01,Qualified,3,Follow-up Required,2026-09-19,Due Today,0.0,SR04,,No,Open,0,1,1,0,0,3,2026-01-21,241,0,0,0,5,0,10,0,15,Cold
L0060,Falcon Industries,SaaS,51-200,2,Unknown,LinkedIn,Cybersecurity,45.2,False,2026-01-08,2026-01,Qualified,3,Waiting for Response,2026-10-08,Upcoming,0.0,SR03,,No,Open,2,1,3,2,0,6,2026-04-07,165,5,5,6,5,0,4,10,35,Cold
L0061,Cedar Pvt Ltd,SaaS,1-50,1,Pune,Referral,DevOps,10.1,False,2026-01-08,2026-01,Qualified,3,Not Interested,,No Follow-up Needed,0.0,SR02,,No,Lost,0,2,2,1,0,4,2026-03-25,178,0,5,0,10,0,10,5,30,Cold
L0062,Titan Networks,FinTech,1-50,1,Hyderabad,Email Campaign,Digital Transformation,4.0,False,2026-01-09,2026-01,Proposal,5,Follow-up Required,2026-10-04,Upcoming,0.0,SR04,245000,No,Open,4,0,2,1,2,10,2026-03-17,186,0,0,10,0,20,4,5,39,Cold
L0063,Oasis Technologies,Healthcare,1-50,1,Pune,LinkedIn,Digital Transformation,5.9,False,2026-01-09,2026-01,Qualified,3,Follow-up Required,2026-10-06,Upcoming,0.0,SR09,,No,Open,0,1,1,0,0,2,2026-03-19,184,0,0,0,5,0,10,0,15,Cold
L0064,Meridian Stores,Retail,1-50,1,Pune,Google Search,DevOps,2.6,False,2026-01-09,2026-01,New,1,Follow-up Required,2026-08-31,Overdue,19.0,SR09,,No,Open,0,0,0,0,0,0,,,0,0,0,0,0,4,0,4,Cold
L0065,Flux Ventures,Manufacturing,201-500,3,Mumbai,Cold Calling,Digital Transformation,93.3,False,2026-01-09,2026-01,New,1,Follow-up Required,2026-09-26,Upcoming,0.0,SR09,,No,Open,0,0,0,0,0,0,,,10,10,0,0,0,10,0,30,Cold
L0066,Indus Pvt Ltd,Manufacturing,1-50,1,Mumbai,Email Campaign,Cloud Services,11.5,False,2026-01-09,2026-01,Meeting,4,Waiting for Response,2026-09-22,Upcoming,0.0,SR02,,No,Open,4,1,3,1,1,10,2026-03-19,184,0,5,10,5,12,10,5,47,Cold
L0067,Kestrel Health,Healthcare,201-500,3,Mumbai,Referral,Cybersecurity,54.7,False,2026-01-09,2026-01,Won,6,Closed,,No Follow-up Needed,0.0,SR02,1295000,Yes,Won,4,2,5,1,2,16,2026-04-04,168,10,10,10,10,20,10,5,75,Warm
L0068,Nexora Academy Systems,Education,51-200,2,Mumbai,Google Search,Software Development,38.6,False,2026-01-09,2026-01,New,1,Follow-up Required,2026-10-05,Upcoming,0.0,SR09,,No,Open,1,0,0,0,0,1,,,5,5,3,0,0,10,0,23,Cold
L0069,Flux Pvt Ltd,FinTech,201-500,3,Delhi,Cold Calling,Cybersecurity,164.8,False,2026-01-09,2026-01,Contacted,2,Follow-up Required,2026-09-09,Overdue,10.0,SR05,,No,Open,1,0,2,0,0,3,2026-04-09,163,10,10,3,0,0,10,0,33,Cold
L0070,Echo Softech,Manufacturing,1-50,1,Jaipur,Cold Calling,Digital Transformation,2.3,False,2026-01-10,2026-01,Proposal,5,Follow-up Required,2026-09-24,Upcoming,0.0,SR03,275000,No,Open,4,2,4,1,2,14,2026-03-29,174,0,0,10,10,20,10,5,55,Cold
L0071,Ion EdTech,Education,51-200,2,Mumbai,Events,Software Development,48.9,False,2026-01-10,2026-01,New,1,Follow-up Required,2026-10-10,Upcoming,0.0,SR09,,No,Open,2,0,0,0,0,2,,,5,5,6,0,0,10,0,26,Cold
L0072,Gravity Labs,Manufacturing,51-200,2,Mumbai,Events,Digital Transformation,43.6,False,2026-01-10,2026-01,Contacted,2,Waiting for Response,2026-09-27,Upcoming,0.0,SR09,,No,Open,1,0,1,1,0,2,2026-01-12,250,5,5,3,0,0,10,5,28,Cold
L0073,Kinetic Technologies,E-commerce,501-1000,4,Chennai,Website,Digital Transformation,444.0,False,2026-01-10,2026-01,Meeting,4,Meeting Scheduled,2026-09-30,Upcoming,0.0,SR04,,No,Open,3,2,2,1,2,10,2026-04-05,167,15,15,6,10,20,4,5,75,Warm
L0074,Banyan Health,Healthcare,201-500,3,Unknown,Cold Calling,Software Development,192.0,False,2026-01-10,2026-01,New,1,Follow-up Required,2026-09-19,Due Today,0.0,SR05,,No,Open,1,0,0,0,0,1,,,10,10,3,0,0,4,0,27,Cold
L0075,Onyx Solutions,Manufacturing,1-50,1,Gurgaon,LinkedIn,Digital Transformation,4.7,False,2026-01-11,2026-01,Contacted,2,Not Interested,,No Follow-up Needed,0.0,SR01,,No,Lost,2,0,1,0,0,4,2026-03-16,187,0,0,6,0,0,10,0,16,Cold
L0076,Xenon Networks,Logistics,1-50,1,Delhi,Cold Calling,DevOps,12.4,False,2026-01-11,2026-01,New,1,Follow-up Required,2026-10-04,Upcoming,0.0,SR05,,No,Open,1,0,0,0,0,1,,,0,5,3,0,0,4,0,12,Cold
L0077,Bluepeak Softech,Retail,501-1000,4,Hyderabad,Cold Calling,Digital Transformation,560.2,False,2026-01-12,2026-01,New,1,Follow-up Required,2026-09-23,Upcoming,0.0,SR08,,No,Open,1,0,0,0,0,1,,,15,20,3,0,0,10,0,48,Cold
L0078,Apex Labs,Education,201-500,3,Hyderabad,Website,Cybersecurity,125.7,False,2026-01-12,2026-01,Proposal,5,Waiting for Response,2026-10-02,Upcoming,0.0,SR08,1170000,No,Open,5,1,2,0,2,11,2026-04-07,165,10,10,10,5,20,4,0,59,Cold
L0079,Flux Industrial,Manufacturing,1000+,5,Bengaluru,Website,Software Development,2686.8,False,2026-01-12,2026-01,Won,6,Closed,,No Follow-up Needed,0.0,SR07,2225000,Yes,Won,3,2,5,1,1,15,2026-04-05,167,20,20,6,10,12,4,5,77,Warm
L0080,Flux Networks,Manufacturing,1-50,1,Mumbai,Cold Calling,DevOps,11.7,False,2026-01-12,2026-01,New,1,Follow-up Required,2026-09-20,Upcoming,0.0,SR06,,No,Open,0,0,0,0,0,0,,,0,5,0,0,0,4,0,9,Cold
L0081,Apex Freight,Logistics,201-500,3,Bengaluru,Events,Cloud Services,115.5,False,2026-01-12,2026-01,Contacted,2,Not Interested,,No Follow-up Needed,0.0,SR07,,No,Lost,1,0,2,2,0,3,2026-04-06,166,10,10,3,0,0,10,10,43,Cold
L0082,Onyx Labs,Healthcare,501-1000,4,Pune,Cold Calling,Cybersecurity,578.4,False,2026-01-12,2026-01,Qualified,3,Waiting for Response,2026-09-24,Upcoming,0.0,SR02,,No,Open,3,2,3,0,0,8,2026-04-04,168,15,20,6,10,0,10,0,61,Warm
L0083,Relay Systems,SaaS,51-200,2,Bengaluru,Website,Cybersecurity,38.5,False,2026-01-13,2026-01,Contacted,2,Not Interested,,No Follow-up Needed,0.0,SR07,,No,Lost,2,0,2,1,0,5,2026-02-13,218,5,5,6,0,0,4,5,25,Cold
L0084,Zest Technologies,Retail,501-1000,4,Bengaluru,LinkedIn,Software Development,580.9,False,2026-01-13,2026-01,Proposal,5,Not Interested,,No Follow-up Needed,0.0,SR07,1440000,No,Lost,3,1,2,1,2,11,2026-04-13,159,15,20,6,5,20,4,5,75,Warm
L0085,Vanguard Labs,SaaS,51-200,2,Mumbai,Cold Calling,Digital Transformation,37.3,False,2026-01-13,2026-01,New,1,Follow-up Required,2026-10-06,Upcoming,0.0,SR09,,No,Open,1,0,0,0,0,1,,,5,5,3,0,0,4,0,17,Cold
L0086,Lakshya Pvt Ltd,Manufacturing,1-50,1,Bengaluru,Website,Cybersecurity,3.5,False,2026-01-13,2026-01,Won,6,Closed,,No Follow-up Needed,0.0,SR07,200000,Yes,Won,5,5,4,2,3,17,2026-04-09,163,0,0,10,10,20,4,10,54,Cold
L0087,Cobalt Labs,SaaS,1-50,1,Ahmedabad,Website,DevOps,2.1,False,2026-01-13,2026-01,New,1,Follow-up Required,2026-10-04,Upcoming,0.0,SR09,,No,Open,0,0,0,0,0,0,,,0,0,0,0,0,10,0,10,Cold
L0088,Delta Systems,FinTech,501-1000,4,Mumbai,Email Campaign,Cybersecurity,497.6,False,2026-01-14,2026-01,Meeting,4,Meeting Scheduled,2026-09-28,Upcoming,0.0,SR06,,No,Open,4,2,2,2,1,9,2026-04-06,166,15,15,10,10,12,10,10,82,Hot
L0089,Rudra Finserv,FinTech,1-50,1,Mumbai,Cold Calling,Software Development,11.1,False,2026-01-14,2026-01,Qualified,3,Follow-up Required,2026-09-19,Due Today,0.0,SR06,,No,Open,1,0,3,3,0,6,2026-04-03,169,0,5,3,0,0,4,10,22,Cold
L0090,Onyx Platforms,SaaS,51-200,2,Pune,LinkedIn,Cybersecurity,37.4,False,2026-01-14,2026-01,Meeting,4,Waiting for Response,2026-09-19,Due Today,0.0,SR06,,No,Open,1,2,2,1,1,7,2026-04-14,158,5,5,3,10,12,4,5,44,Cold
L0091,Zephyr Solutions,Logistics,501-1000,4,Mumbai,Website,Software Development,335.2,False,2026-01-14,2026-01,Qualified,3,Follow-up Required,2026-09-20,Upcoming,0.0,SR09,,No,Open,1,1,2,1,0,5,2026-03-23,180,15,15,3,5,0,4,5,47,Cold
L0092,Trident Solutions,Education,201-500,3,Pune,Website,Cloud Services,93.4,False,2026-01-14,2026-01,Meeting,4,Meeting Scheduled,2026-10-01,Upcoming,0.0,SR06,,No,Open,1,3,2,1,1,7,2026-04-12,160,10,10,3,10,12,4,5,54,Cold
L0093,Hive Ventures,Education,1-50,1,Bengaluru,Website,Cloud Services,7.4,False,2026-01-14,2026-01,Qualified,3,Waiting for Response,2026-10-02,Upcoming,0.0,SR08,,No,Open,1,1,2,0,0,4,2026-04-05,167,0,0,3,5,0,4,0,12,Cold
L0094,Wavelet Ventures,Manufacturing,1-50,1,Hyderabad,Website,Cloud Services,13.9,False,2026-01-15,2026-01,Won,6,Closed,,No Follow-up Needed,0.0,SR07,345000,Yes,Won,3,3,3,0,2,13,2026-04-02,170,0,5,6,10,20,10,0,51,Cold
L0095,Vertex Enterprises,SaaS,501-1000,4,Chennai,Cold Calling,Cybersecurity,482.0,False,2026-01-15,2026-01,Qualified,3,Meeting Scheduled,2026-09-22,Upcoming,0.0,SR07,,No,Open,0,1,1,0,0,2,2026-03-17,186,15,15,0,5,0,4,0,39,Cold
